,Person,1,2,3,4,5,6
67,68,liquor,nuts/prunes,liquor-(appetizer),dental-care,sparkling-wine,bottled-beer
68,69,cereals,rolls/buns,brown-bread,sliced-cheese,pastry,meat
69,70,nuts/prunes,candy,pastry,grapes,beverages,other-vegetables
70,71,liquor,sparkling-wine,bottled-beer,rubbing-alcohol,canned-beer,prosecco
71,72,rum,organic-sausage,oil,domestic-eggs,jam,curd
72,73,butter,canned-fruit,hygiene-articles,ketchup,pickled-vegetables,root-vegetables
73,74,pastry,chewing-gum,bottled-water,cake-bar,rolls/buns,shopping-bags
74,75,sound-storage-medium,bags,salad-dressing,cream,frozen-dessert,brown-bread
75,76,margarine,coffee,frankfurter,flour,newspapers,meat
76,77,yogurt,candles,pip-fruit,turkey,grapes,cereals
77,78,white-wine,whisky,red/blush-wine,liquor,misc.-beverages,make-up-remover
78,79,white-wine,red/blush-wine,liquor,misc.-beverages,canned-beer,liquor-(appetizer)
79,80,kitchen-towels,condensed-milk,frozen-dessert,cling-film/bags,ready-soups,frozen-fish
80,81,candy,waffles,chocolate-marshmallow,nuts/prunes,long-life-bakery-product,finished-products
81,82,liver-loaf,frozen-dessert,beef,herbs,butter,detergent
82,83,rice,herbs,packaged-fruit/vegetables,liver-loaf,chicken,jam
83,84,detergent,liver-loaf,prosecco,frozen-dessert,nut-snack,instant-coffee
84,85,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
85,86,sliced-cheese,frankfurter,meat,spread-cheese,beef,whole-milk
86,87,condensed-milk,nuts/prunes,cling-film/bags,liquor-(appetizer),kitchen-towels,UHT-milk
87,88,root-vegetables,chicken,roll-products-,frozen-vegetables,beef,berries
88,89,whipped/sour-cream,packaged-fruit/vegetables,curd,cream-cheese-,spread-cheese,soft-cheese
89,90,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
90,91,kitchen-utensil,packaged-fruit/vegetables,whipped/sour-cream,grapes,fish,bathroom-cleaner
91,92,popcorn,make-up-remover,condensed-milk,nut-snack,organic-sausage,misc.-beverages
92,93,dishes,meat-spreads,tropical-fruit,berries,liver-loaf,seasonal-products
93,94,other-vegetables,canned-fruit,chicken,root-vegetables,beef,Instant-food-products
94,95,softener,honey,decalcifier,house-keeping-products,flower-soil/fertilizer,soap
95,96,pot-plants,ice-cream,liqueur,berries,preservation-products,whisky
96,97,white-wine,spread-cheese,soda,frankfurter,liquor,meat
97,98,flower-(seeds),domestic-eggs,Instant-food-products,pip-fruit,herbs,onions
98,99,pastry,meat,frankfurter,curd,cereals,cream-cheese-
99,100,pip-fruit,grapes,yogurt,other-vegetables,hygiene-articles,pickled-vegetables
100,101,liqueur,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags
101,102,shopping-bags,frankfurter,chocolate,waffles,brown-bread,beverages
102,103,soda,white-wine,spread-cheese,bottled-beer,canned-beer,newspapers
103,104,soda,brown-bread,cat-food,dessert,long-life-bakery-product,seasonal-products
104,105,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
105,106,soda,newspapers,beverages,bottled-water,condensed-milk,candy
106,107,packaged-fruit/vegetables,honey,grapes,pickled-vegetables,herbs,jam
107,108,chocolate,specialty-bar,chocolate-marshmallow,instant-coffee,specialty-chocolate,salty-snack
108,109,ham,white-bread,frozen-fruits,potato-products,ketchup,snack-products
109,110,grapes,citrus-fruit,semi-finished-bread,frozen-meals,beverages,tea
110,111,meat,sliced-cheese,mustard,bottled-water,beef,herbs
111,112,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
112,113,bottled-beer,skin-care,frozen-dessert,instant-coffee,ready-soups,soda
113,114,pudding-powder,baking-powder,frozen-fruits,curd,instant-coffee,kitchen-utensil
114,115,rubbing-alcohol,grapes,ham,canned-fruit,white-bread,frozen-fruits
115,116,curd,pip-fruit,pot-plants,citrus-fruit,beverages,cream-cheese-
116,117,Instant-food-products,liver-loaf,bottled-water,skin-care,frozen-dessert,instant-coffee
117,118,chicken,pork,pasta,instant-coffee,frozen-meals,semi-finished-bread
118,119,pastry,chewing-gum,bottled-water,cake-bar,rolls/buns,shopping-bags
119,120,candles,condensed-milk,seasonal-products,waffles,specialty-chocolate,semi-finished-bread
120,121,rolls/buns,chocolate,meat,sliced-cheese,potato-products,cream
121,122,ready-soups,male-cosmetics,liquor-(appetizer),cake-bar,flower-soil/fertilizer,seasonal-products
122,123,specialty-bar,shopping-bags,waffles,chocolate,semi-finished-bread,beverages
123,124,sparkling-wine,liquor,bottled-beer,canned-beer,root-vegetables,onions
124,125,liqueur,canned-fruit,sparkling-wine,sweet-spreads,frozen-dessert,whipped/sour-cream
125,126,butter-milk,tea,rolls/buns,brown-bread,yogurt,other-vegetables
126,127,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
127,128,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
128,129,spread-cheese,frankfurter,soda,sliced-cheese,tidbits,shopping-bags
129,130,abrasive-cleaner,flower-soil/fertilizer,artif.-sweetener,berries,pork,napkins
130,131,potato-products,cake-bar,flower-soil/fertilizer,seasonal-products,mustard,pickled-vegetables
131,132,coffee,pastry,cat-food,dessert,seasonal-products,specialty-chocolate
132,133,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
133,134,cake-bar,bathroom-cleaner,canned-beer,chewing-gum,ice-cream,specialty-bar
134,135,pudding-powder,cooking-chocolate,sugar,whisky,light-bulbs,organic-products
135,136,seasonal-products,condensed-milk,grapes,pip-fruit,citrus-fruit,root-vegetables
136,137,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
137,138,hamburger-meat,canned-fish,frankfurter,sausage,spread-cheese,newspapers
138,139,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
139,140,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
140,141,meat,pastry,sliced-cheese,soda,shopping-bags,mustard
141,142,liqueur,sparkling-wine,shopping-bags,red/blush-wine,root-vegetables,onions
142,143,detergent,photo/film,chicken,liver-loaf,frozen-meals,semi-finished-bread
143,144,cereals,curd,domestic-eggs,pot-plants,butter,pastry
144,145,specialty-fat,candles,rubbing-alcohol,rum,flower-(seeds),vinegar
145,146,mustard,meat,sausage,spread-cheese,potato-products,newspapers
146,147,margarine,coffee,flour,meat,pastry,tropical-fruit
147,148,instant-coffee,spread-cheese,bottled-water,fruit/vegetable-juice,dessert,specialty-bar
148,149,male-cosmetics,Instant-food-products,tropical-fruit,toilet-cleaner,soda,white-wine
149,150,salty-snack,make-up-remover,baby-food,hamburger-meat,snack-products,specialty-vegetables
150,151,specialty-chocolate,canned-fish,cat-food,coffee,waffles,long-life-bakery-product
151,152,processed-cheese,canned-fruit,male-cosmetics,seasonal-products,organic-sausage,spices
152,153,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
153,154,dishes,light-bulbs,cream-cheese-,whipped/sour-cream,hygiene-articles,seasonal-products
154,155,bottled-water,brown-bread,rice,detergent,pip-fruit,newspapers
155,156,condensed-milk,seasonal-products,canned-beer,red/blush-wine,white-wine,cling-film/bags
156,157,salty-snack,make-up-remover,snack-products,shopping-bags,pork,napkins
157,158,bottled-beer,newspapers,chewing-gum,coffee,margarine,pastry
158,159,pip-fruit,root-vegetables,grapes,citrus-fruit,yogurt,semi-finished-bread
159,160,sugar,whisky,house-keeping-products,pudding-powder,cookware,organic-products
160,161,domestic-eggs,cake-bar,chocolate,soft-cheese,curd,sliced-cheese
161,162,rolls/buns,frozen-potato-products,nut-snack,canned-beer,ice-cream,specialty-bar
162,163,misc.-beverages,grapes,canned-vegetables,fruit/vegetable-juice,citrus-fruit,newspapers
163,164,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
164,165,red/blush-wine,chicken,pork,flower-(seeds),liquor,pickled-vegetables
165,166,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
166,167,Instant-food-products,pasta,sweet-spreads,canned-vegetables,beef,herbs
167,168,waffles,chocolate,cereals,brown-bread,semi-finished-bread,candles
168,169,potato-products,baby-food,canned-beer,whisky,organic-sausage,brandy
169,170,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
170,171,processed-cheese,dessert,bottled-water,pip-fruit,yogurt,pot-plants
171,172,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
172,173,make-up-remover,preservation-products,cooking-chocolate,baby-food,nut-snack,tea
173,174,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
174,175,popcorn,specialty-bar,candy,chewing-gum,ice-cream,specialty-chocolate
175,176,frozen-fruits,pot-plants,soap,liver-loaf,butter-milk,vinegar
176,177,jam,canned-vegetables,cereals,curd,domestic-eggs,pot-plants
177,178,cake-bar,flower-soil/fertilizer,seasonal-products,liqueur,canned-fruit,popcorn
178,179,condensed-milk,specialty-vegetables,sliced-cheese,cling-film/bags,rolls/buns,cream
179,180,canned-beer,soda,misc.-beverages,chewing-gum,salty-snack,white-wine
180,181,processed-cheese,sliced-cheese,frankfurter,newspapers,pastry,sausage
181,182,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
182,183,onions,bottled-beer,UHT-milk,grapes,specialty-cheese,margarine
183,184,liquor,red/blush-wine,liquor-(appetizer),bottled-water,pet-care,toilet-cleaner
184,185,chocolate-marshmallow,sound-storage-medium,chocolate,turkey,specialty-chocolate,rum
185,186,citrus-fruit,butter-milk,hard-cheese,tea,onions,frozen-vegetables
186,187,shopping-bags,liqueur,red/blush-wine,white-wine,frankfurter,sausage
187,188,tea,snack-products,canned-fish,liver-loaf,turkey,dessert
188,189,semi-finished-bread,pip-fruit,frozen-meals,cat-food,pickled-vegetables,rolls/buns
189,190,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
190,191,frozen-fruits,pot-plants,shopping-bags,berries,pork,napkins
191,192,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
192,193,canned-beer,brandy,cake-bar,dessert,softener,liquor
193,194,mustard,meat,sausage,spread-cheese,potato-products,newspapers
194,195,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
195,196,packaged-fruit/vegetables,herbs,jam,pork,whipped/sour-cream,cake-bar
196,197,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
197,198,cookware,root-vegetables,other-vegetables,preservation-products,bags,jam
198,199,flour,soups,candles,baking-powder,oil,pickled-vegetables
199,200,liquor,white-wine,brandy,canned-beer,red/blush-wine,prosecco
200,201,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
201,202,sparkling-wine,brown-bread,berries,pork,napkins,hygiene-articles
202,203,yogurt,whole-milk,liver-loaf,cream-cheese-,cake-bar,Instant-food-products
203,204,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
204,205,bottled-beer,male-cosmetics,fruit/vegetable-juice,margarine,nuts/prunes,soda
205,206,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
206,207,beef,chicken,roll-products-,frozen-vegetables,frozen-fish,herbs
207,208,candles,grapes,pip-fruit,canned-fruit,potato-products,specialty-bar
208,209,prosecco,dog-food,finished-products,jam,kitchen-utensil,brown-bread
209,210,specialty-bar,shopping-bags,waffles,chocolate,beverages,canned-beer
210,211,UHT-milk,misc.-beverages,fruit/vegetable-juice,spread-cheese,napkins,rolls/buns
211,212,seasonal-products,brandy,flour,canned-beer,red/blush-wine,white-wine
212,213,spread-cheese,canned-beer,rolls/buns,dessert,brown-bread,specialty-chocolate
213,214,pastry,chewing-gum,bottled-water,cake-bar,rolls/buns,shopping-bags
214,215,frankfurter,pastry,sliced-cheese,meat,soda,root-vegetables
215,216,cookware,liqueur,shopping-bags,berries,pork,napkins
216,217,cookware,liqueur,shopping-bags,berries,pork,napkins
217,218,white-wine,misc.-beverages,soda,bottled-beer,newspapers,male-cosmetics
218,219,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
219,220,abrasive-cleaner,prosecco,bathroom-cleaner,vinegar,toilet-cleaner,nut-snack
220,221,canned-beer,white-wine,ice-cream,liquor-(appetizer),spread-cheese,chewing-gum
221,222,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
222,223,root-vegetables,yogurt,domestic-eggs,berries,butter,soft-cheese
223,224,liqueur,nuts/prunes,canned-fruit,liquor-(appetizer),sparkling-wine,dental-care
224,225,prosecco,whisky,brown-bread,berries,pork,napkins
225,226,white-wine,spread-cheese,chewing-gum,red/blush-wine,liquor-(appetizer),specialty-chocolate
226,227,liquor,tea,red/blush-wine,prosecco,liquor-(appetizer),baby-food
227,228,mustard,vinegar,dish-cleaner,cooking-chocolate,pickled-vegetables,pudding-powder
228,229,liqueur,shopping-bags,red/blush-wine,white-wine,frankfurter,sausage
229,230,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
230,231,grapes,onions,packaged-fruit/vegetables,citrus-fruit,whipped/sour-cream,misc.-beverages
231,232,UHT-milk,spread-cheese,yogurt,tropical-fruit,dishes,canned-beer
232,233,bottled-beer,newspapers,fruit/vegetable-juice,margarine,soda,misc.-beverages
233,234,soft-cheese,spread-cheese,frankfurter,soda,shopping-bags,meat
234,235,whole-milk,meat,soft-cheese,herbs,Instant-food-products,popcorn
235,236,whole-milk,soft-cheese,domestic-eggs,hamburger-meat,sliced-cheese,chocolate
236,237,hamburger-meat,honey,softener,flower-(seeds),kitchen-utensil,herbs
237,238,sausage,beef,frankfurter,domestic-eggs,newspapers,meat
238,239,baking-powder,flower-(seeds),oil,flour,pork,roll-products-
239,240,flour,cream-cheese-,other-vegetables,butter,dishes,tropical-fruit
240,241,flour,candles,soups,pip-fruit,baking-powder,chocolate
241,242,liquor,chewing-gum,pet-care,fruit/vegetable-juice,rolls/buns,newspapers
242,243,yogurt,domestic-eggs,other-vegetables,tropical-fruit,butter,beef
243,244,dish-cleaner,rubbing-alcohol,photo/film,decalcifier,house-keeping-products,softener
244,245,Instant-food-products,jam,pasta,herbs,packaged-fruit/vegetables,pickled-vegetables
245,246,ready-soups,male-cosmetics,soda,white-wine,spread-cheese,nuts/prunes
246,247,candy,specialty-bar,waffles,specialty-chocolate,meat-spreads,canned-beer
247,248,liquor-(appetizer),packaged-fruit/vegetables,pickled-vegetables,semi-finished-bread,pork,herbs
248,249,canned-beer,sausage,chewing-gum,instant-coffee,spread-cheese,specialty-chocolate
249,250,cereals,curd,domestic-eggs,pot-plants,butter,pastry
250,251,canned-beer,sausage,spread-cheese,chewing-gum,shopping-bags,specialty-bar
251,252,soda,pastry,cream-cheese-,butter-milk,tropical-fruit,margarine
252,253,liqueur,prosecco,shopping-bags,berries,pork,napkins
253,254,red/blush-wine,bottled-beer,citrus-fruit,beverages,whipped/sour-cream,berries
254,255,butter-milk,white-bread,beverages,grapes,tropical-fruit,citrus-fruit
255,256,beef,onions,whole-milk,specialty-cheese,whipped/sour-cream,dishes
256,257,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
257,258,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
258,259,pastry,fruit/vegetable-juice,shopping-bags,frankfurter,sliced-cheese,brown-bread
259,260,honey,flower-(seeds),softener,beef,herbs,other-vegetables
260,261,grapes,beef,chicken,roll-products-,whipped/sour-cream,packaged-fruit/vegetables
261,262,frozen-fish,beef,chocolate-marshmallow,roll-products-,chicken,ketchup
262,263,candy,waffles,chocolate-marshmallow,nuts/prunes,long-life-bakery-product,finished-products
263,264,make-up-remover,misc.-beverages,salty-snack,long-life-bakery-product,soap,dog-food
264,265,specialty-vegetables,condensed-milk,cling-film/bags,bags,kitchen-towels,UHT-milk
265,266,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
266,267,soft-cheese,specialty-fat,sliced-cheese,flower-(seeds),hard-cheese,meat
267,268,softener,citrus-fruit,pastry,semi-finished-bread,chewing-gum,margarine
268,269,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
269,270,herbs,beef,packaged-fruit/vegetables,onions,other-vegetables,rice
270,271,fruit/vegetable-juice,grapes,beef,other-vegetables,oil,packaged-fruit/vegetables
271,272,soda,white-wine,bottled-beer,newspapers,skin-care,misc.-beverages
272,273,pip-fruit,organic-products,frozen-dessert,frozen-fish,candles,specialty-fat
273,274,napkins,other-vegetables,curd,berries,yogurt,oil
274,275,oil,sugar,onions,beef,tropical-fruit,butter
275,276,soda,newspapers,beverages,pip-fruit,Instant-food-products,cream-cheese-
276,277,pastry,cream-cheese-,curd,instant-coffee,tropical-fruit,beverages
277,278,other-vegetables,yogurt,domestic-eggs,butter,pip-fruit,beef
278,279,coffee,sausage,pastry,newspapers,shopping-bags,meat
279,280,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
280,281,semi-finished-bread,grapes,beverages,candles,artif.-sweetener,cookware
281,282,cereals,margarine,UHT-milk,whipped/sour-cream,citrus-fruit,meat
282,283,baby-food,hamburger-meat,specialty-vegetables,frozen-meals,specialty-fat,honey
283,284,pip-fruit,grapes,yogurt,other-vegetables,hygiene-articles,pickled-vegetables
284,285,frankfurter,pastry,meat,spread-cheese,sliced-cheese,soft-cheese
285,286,brown-bread,chocolate,long-life-bakery-product,specialty-bar,salty-snack,beverages
286,287,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
287,288,soups,flour,pet-care,salt,baking-powder,canned-fruit
288,289,light-bulbs,brandy,bathroom-cleaner,dishes,canned-beer,liquor
289,290,chewing-gum,condensed-milk,canned-beer,sausage,soda,coffee
290,291,sliced-cheese,rolls/buns,cream,shopping-bags,meat,male-cosmetics
291,292,packaged-fruit/vegetables,chewing-gum,dishes,softener,hygiene-articles,pork
292,293,beef,roll-products-,canned-vegetables,baking-powder,curd,berries
293,294,shopping-bags,rolls/buns,spread-cheese,brown-bread,pastry,sliced-cheese
294,295,herbs,pork,packaged-fruit/vegetables,other-vegetables,jam,curd
295,296,UHT-milk,male-cosmetics,fruit/vegetable-juice,tropical-fruit,onions,spread-cheese
296,297,condensed-milk,cling-film/bags,kitchen-towels,sparkling-wine,seasonal-products,fish
297,298,chocolate-marshmallow,sound-storage-medium,chocolate,specialty-chocolate,brown-bread,pork
298,299,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
299,300,root-vegetables,berries,tropical-fruit,dishes,onions,pip-fruit
300,301,spread-cheese,frankfurter,soda,sliced-cheese,shopping-bags,meat
301,302,whole-milk,cat-food,dishes,cream-cheese-,liver-loaf,meat
302,303,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
303,304,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
304,305,candy,nuts/prunes,specialty-bar,ice-cream,waffles,liquor-(appetizer)
305,306,processed-cheese,tea,ham,sound-storage-medium,syrup,fruit/vegetable-juice
306,307,male-cosmetics,whisky,bottled-beer,UHT-milk,misc.-beverages,soda
307,308,specialty-vegetables,syrup,sound-storage-medium,hair-spray,processed-cheese,ham
308,309,sliced-cheese,brown-bread,frozen-vegetables,rolls/buns,frankfurter,other-vegetables
309,310,ready-soups,soap,berries,pork,napkins,hygiene-articles
310,311,specialty-chocolate,coffee,cereals,frozen-vegetables,cake-bar,semi-finished-bread
311,312,female-sanitary-products,candles,sound-storage-medium,soups,UHT-milk,grapes
312,313,liqueur,prosecco,shopping-bags,berries,pork,napkins
313,314,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
314,315,meat,spread-cheese,UHT-milk,pastry,frankfurter,specialty-cheese
315,316,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
316,317,ice-cream,popcorn,misc.-beverages,chewing-gum,candy,bottled-water
317,318,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
318,319,shopping-bags,male-cosmetics,UHT-milk,spread-cheese,rolls/buns,liquor-(appetizer)
319,320,berries,herbs,beef,packaged-fruit/vegetables,onions,other-vegetables
320,321,UHT-milk,meat,meat-spreads,ketchup,canned-fruit,chocolate-marshmallow
321,322,meat-spreads,shopping-bags,Instant-food-products,liqueur,mustard,red/blush-wine
322,323,pip-fruit,semi-finished-bread,yogurt,pot-plants,citrus-fruit,curd
323,324,spices,frozen-vegetables,softener,packaged-fruit/vegetables,skin-care,pork
324,325,UHT-milk,meat,spread-cheese,rolls/buns,specialty-cheese,fruit/vegetable-juice
325,326,whipped/sour-cream,sparkling-wine,flower-(seeds),vinegar,flour,herbs
326,327,skin-care,oil,cooking-chocolate,candles,specialty-fat,rubbing-alcohol
327,328,sausage,spread-cheese,beverages,bottled-water,misc.-beverages,newspapers
328,329,specialty-chocolate,specialty-bar,waffles,instant-coffee,spread-cheese,processed-cheese
329,330,Instant-food-products,sweet-spreads,popcorn,kitchen-towels,processed-cheese,sauces
330,331,spread-cheese,sausage,instant-coffee,bottled-water,beverages,chewing-gum
331,332,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
332,333,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
333,334,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
334,335,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
335,336,Instant-food-products,sauces,pasta,sliced-cheese,rolls/buns,syrup
336,337,make-up-remover,salty-snack,candy,cookware,white-bread,specialty-bar
337,338,canned-beer,white-wine,brandy,specialty-chocolate,liquor,coffee
338,339,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
339,340,whipped/sour-cream,meat,yogurt,cereals,cream-cheese-,dessert
340,341,male-cosmetics,shopping-bags,rolls/buns,brown-bread,sliced-cheese,domestic-eggs
341,342,mustard,meat,sausage,spread-cheese,potato-products,newspapers
342,343,popcorn,make-up-remover,baby-cosmetics,nut-snack,ice-cream,kitchen-towels
343,344,vinegar,roll-products-,dog-food,pudding-powder,dish-cleaner,ketchup
344,345,specialty-bar,snack-products,shopping-bags,waffles,chocolate,meat-spreads
345,346,flower-(seeds),chicken,rum,domestic-eggs,hard-cheese,rice
